ID;Longitud del entorno;Ancho del entorno;Núm_Obstáculos;Núm_hormigas;Iteraciones;Alpha;Beta;Rho;Núm_sub;Longitud_operativa;Longitud no operativa;Longitud total;Número de giros en operación;Número de giros No operación;Número total de giros;Tiempo total
86;100;70;4;200;300;1.5;1.5;0.6;9;1764.41;410.75;2175.16;37;15;52;5.98
2;100;70;1;50;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
150;100;70;0;50;50;1.0;1.0;0.5;1;1700.0;168.0;1868.0;17;1;18;4.0
171;100;70;3;100;200;1.2;4.0;0.7;8;1569.41;457.31;2026.72;36;14;50;5.64
166;100;70;3;100;200;0.5;2.0;0.4;8;1569.41;457.31;2026.72;36;14;50;5.64
141;100;70;4;150;150;1.0;1.0;0.7;12;1680.62;480.91;2161.53;36;18;54;6.1
194;100;70;4;10;10;1.0;1.0;0.5;11;1649.61;472.93;2122.54;41;18;59;6.19
129;100;70;4;150;150;1.0;4.0;0.6;12;1725.56;317.63;2043.19;37;13;50;5.69
52;100;70;1;50;400;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
61;100;70;2;100;300;1.5;1.5;0.6;7;1627.34;419.43;2046.77;31;13;44;5.34
175;100;70;3;1;1;1.0;1.0;0.5;8;1606.86;599.66;2206.52;36;13;49;5.91
78;100;70;4;100;100;1.5;1.5;0.6;12;1679.06;487.58;2166.64;36;20;56;6.08
96;100;70;2;100;100;1.0;1.5;0.6;7;1630.41;417.74;2048.15;31;10;41;5.3
88;100;70;4;200;500;1.5;1.5;0.6;12;1683.36;490.36;2173.72;34;16;50;5.86
47;100;70;2;100;100;1.5;1.5;0.6;7;1627.31;419.43;2046.74;31;13;44;5.39
152;100;70;0;50;50;1.0;1.0;0.5;1;1700.0;168.0;1868.0;17;1;18;4.0
162;100;70;3;100;200;0.5;2.0;0.4;8;1569.41;457.31;2026.72;36;14;50;5.64
193;100;70;4;10;10;1.0;1.0;0.5;11;1649.61;472.93;2122.54;41;18;59;6.19
43;100;70;1;50;200;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
50;100;70;2;100;100;1.5;1.5;0.6;7;1697.31;431.9;2129.21;31;12;43;5.52
130;100;70;4;150;150;1.0;1.0;0.1;11;1678.96;397.39;2076.35;35;14;49;5.68
12;100;70;1;200;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
117;100;70;4;150;150;4.0;1.5;0.6;8;1565.81;400.5;1966.31;35;13;48;5.46
62;100;70;2;100;400;1.5;1.5;0.6;7;1627.31;419.43;2046.74;31;13;44;5.49
114;100;70;4;150;150;1.0;1.5;0.6;10;1720.51;434.82;2155.33;32;15;47;5.69
14;100;70;1;300;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
169;100;70;3;100;200;0.8;3.0;0.5;8;1569.41;457.31;2026.72;36;14;50;5.64
173;100;70;3;100;200;1.2;4.0;0.7;8;1569.41;457.31;2026.72;36;14;50;5.64
143;100;70;4;150;150;1.0;1.0;0.7;12;1680.61;480.95;2161.56;36;18;54;6.2
191;100;70;4;10;10;1.0;1.0;0.5;11;1649.61;472.93;2122.54;41;18;59;6.19
16;100;70;1;400;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
98;100;70;2;100;100;1.5;1.5;0.6;6;1627.31;378.83;2006.14;32;10;42;5.28
176;100;70;3;300;500;2.5;5.0;0.8;8;1569.41;457.34;2026.75;36;14;50;5.64
20;100;70;1;500;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
39;100;70;1;50;50;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
137;100;70;4;150;150;1.0;1.0;0.3;12;1734.06;393.72;2127.78;38;16;54;5.98
131;100;70;4;150;150;1.0;1.0;0.1;11;1678.96;397.39;2076.35;35;14;49;5.68
87;100;70;4;200;400;1.5;1.5;0.6;9;1666.86;421.37;2088.23;36;10;46;5.61
15;100;70;1;300;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
5;100;70;1;50;100;1.5;1.5;0.6;4;1687.1;333.04;2020.14;28;6;34;4.97
83;100;70;4;300;100;1.5;1.5;0.6;10;1741.96;351.0;2092.96;32;12;44;5.49
168;100;70;3;100;200;0.8;3.0;0.5;8;1569.41;457.31;2026.72;36;14;50;5.64
182;100;70;3;10;10;2.0;5.0;0.8;8;1569.41;457.34;2026.75;36;14;50;5.64
145;100;70;4;150;150;1.0;1.0;0.9;12;1680.64;480.91;2161.55;36;19;55;6.2
120;100;70;4;150;150;1.0;0.5;0.6;12;1679.06;469.99;2149.05;36;26;62;6.25
64;100;70;2;100;400;1.5;1.5;0.6;7;1627.38;419.43;2046.81;31;13;44;5.39
