ID,Longitud del entorno,Ancho del entorno,Núm_Obstáculos,Núm_hormigas,Iteraciones,Alpha,Beta,Rho,Núm_sub,Longitud_operativa,Longitud no operativa,Longitud total,Número de giros en operación,Número de giros No operación,Número total de giros,Tiempo total
85,100,70,4,200,200,1.5,1.5,0.6,12,1680.61,481.81,2162.42,36,18,54,6
86,100,70,4,200,300,1.5,1.5,0.6,9,1764.41,410.75,2175.16,37,15,52,5.98
87,100,70,4,200,400,1.5,1.5,0.6,9,1666.86,421.37,2088.23,36,10,46,5.61
88,100,70,4,200,500,1.5,1.5,0.6,12,1683.36,490.36,2173.72,34,16,50,5.86
89,100,70,2,100,100,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
90,100,70,2,100,100,0.1,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
91,100,70,2,100,100,0.1,1.5,0.6,7,1630.4,385.2,2015.6,31,10,41,5.24
92,100,70,2,100,100,0.1,1.5,0.6,7,1700.41,483.71,2184.12,32,16,48,5.63
93,100,70,2,100,100,0.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
94,100,70,2,100,100,0.5,1.5,0.6,7,1700.41,401.42,2101.83,32,13,45,5.54
95,100,70,2,100,100,1,1.5,0.6,7,1627.31,419.43,2046.74,31,14,45,5.39
96,100,70,2,100,100,1,1.5,0.6,7,1630.41,417.74,2048.15,31,10,41,5.3
97,100,70,2,100,100,1.5,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
98,100,70,2,100,100,1.5,1.5,0.6,6,1627.31,378.83,2006.14,32,10,42,5.28
99,100,70,2,100,100,2,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
100,100,70,2,100,100,3,1.5,0.6,7,1627.31,419.43,2046.74,31,13,44,5.39
101,100,70,2,100,100,4,1.5,0.6,7,1627.34,419.42,2046.76,31,13,44,5.39
102,100,70,3,100,100,0.5,1.5,0.6,8,1569.41,457.34,2026.75,36,15,51,5.74
103,100,70,3,100,100,1,1.5,0.6,8,1569.41,457.34,2026.75,36,14,50,5.64
104,100,70,3,100,100,2,1.5,0.6,8,1569.44,457.34,2026.78,36,14,50,5.64
105,100,70,3,100,100,3,1.5,0.6,8,1569.41,457.37,2026.78,36,14,50,5.64
106,100,70,4,150,150,0.5,1.5,0.6,12,1791.41,397.34,2188.75,35,17,52,5.96
107,100,70,4,150,150,0.5,1.5,0.6,11,1734.96,441.72,2176.68,34,15,49,5.82
108,100,70,4,150,150,1,1.5,0.6,11,1571.06,457.96,2029.02,31,17,48,5.5
109,100,70,4,150,150,1,1.5,0.6,10,1720.51,434.82,2155.33,32,15,47,5.69
110,100,70,4,150,150,2,1.5,0.6,12,1701.56,354.33,2055.89,36,18,54,5.83
111,100,70,4,150,150,2,1.5,0.6,12,1679.06,501.28,2180.34,36,19,55,6.07
112,100,70,4,150,150,3,1.5,0.6,12,1679.06,464.39,2143.45,36,18,54,5.97
113,100,70,4,150,150,4,1.5,0.6,8,1565.81,400.5,1966.31,35,13,48,5.46
114,100,70,4,150,150,1,1.5,0.6,10,1720.51,434.82,2155.33,32,15,47,5.69
115,100,70,4,150,150,1,1.5,0.6,10,1720.51,434.82,2155.33,32,15,47,5.69
116,100,70,4,150,150,1,1.5,0.6,10,1720.51,434.82,2155.33,32,15,47,5.69
117,100,70,4,150,150,4,1.5,0.6,8,1565.81,400.5,1966.31,35,13,48,5.46
118,100,70,4,150,150,4,1.5,0.6,8,1565.81,400.5,1966.31,35,13,48,5.46
119,100,70,4,150,150,1,0.5,0.6,12,1679.06,469.99,2149.05,36,26,62,6.25
120,100,70,4,150,150,1,0.5,0.6,12,1679.06,469.99,2149.05,36,26,62,6.25
121,100,70,4,150,150,1,0.5,0.6,12,1679.06,508.78,2187.84,36,19,55,6.08
122,100,70,4,150,150,1,1,0.6,10,1709.41,457.5,2166.91,36,16,52,5.94
123,100,70,4,150,150,1,1,0.6,7,1715.76,321.75,2037.51,33,7,40,5.28
124,100,70,4,150,150,1,2,0.6,12,1679.06,463.51,2142.57,36,19,55,6
125,100,70,4,150,150,1,2,0.6,8,1572.51,449.71,2022.22,36,11,47,5.54
126,100,70,4,150,150,1,3,0.6,13,1680.51,484.26,2164.77,34,18,52,5.91
127,100,70,4,150,150,1,3,0.6,12,1677.51,498.99,2176.5,36,20,56,6.09
128,100,70,4,150,150,1,4,0.6,10,1755.41,472.31,2227.72,31,14,45,5.73
129,100,70,4,150,150,1,4,0.6,12,1725.56,317.63,2043.19,37,13,50,5.69
130,100,70,4,150,150,1,1,0.1,11,1678.96,397.39,2076.35,35,14,49,5.68
131,100,70,4,150,150,1,1,0.1,11,1678.96,397.39,2076.35,35,14,49,5.68
132,100,70,4,150,150,1,1,0.1,11,1678.96,397.39,2076.35,35,14,49,5.68
133,100,70,4,150,150,1,1,0.1,11,1678.96,397.39,2076.35,35,14,49,5.68
134,100,70,4,150,150,1,1,0.3,12,1734.06,393.72,2127.78,38,16,54,5.98
135,100,70,4,150,150,1,1,0.3,12,1734.06,393.72,2127.78,38,16,54,5.98
136,100,70,4,150,150,1,1,0.3,12,1734.06,393.72,2127.78,38,16,54,5.98
137,100,70,4,150,150,1,1,0.3,12,1734.06,393.72,2127.78,38,16,54,5.98
